Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,1,13,0,-10.32,0.18,-11.22,[#1][C-0X4]1([O-0X2][#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]([C-0X4]1([#1])[#1])[C-0X3](=[O-0X1])[c-0X3]1[c-0X3]([O-0X2][#1])[c-0X3]([c-0X3]2[n-0X3]([#1])[n-0X2][c-0X3]([C-0X4]([#1])([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]3[#1])[C-0X4]([#1])([#1])[#1])[#1])[c-0X3]2[c-0X3]1[#1])[#1]
kcal/mol,2,14,0,-7.31,0.19,-8.29,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,3,15,0,-6.53,0.18,-7.64,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([O-0X2][C-0X4]([#1])([#1])[#1])[c-0X3]([c-0X3]1[#1])[#1])[O-0X2][C-0X4]([#1])([#1])[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,4,16,0,-8.29,0.18,-9.24,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([#1])([#1])[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,5,18,0,-8.43,0.17,-10.91,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]2[c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[n-0X3]([C-0X4]([#1])([#1])[#1])[n-0X2][c-0X3]2[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,6,17,0,-7.09,0.18,-8.94,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]2[c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[c-0X3]([n-0X2][n-0X3]2[C-0X4]([#1])([#1])[#1])[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,7,19,0,-9.75,0.21,-10.67,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[n-0X3]([C-0X4]([#1])([#1])[#1])[n-0X2][c-0X3]1[#1])[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,8,20,0,-9.95,0.18,-10.64,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[n-0X3]([C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[n-0X2][c-0X3]1[#1])[#1])[#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[#1]
kcal/mol,9,21,0,-9.46,0.21,-9.7,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[n-0X3]([C-0X4]([#1])([#1])[#1])[n-0X2][c-0X3]1[#1])[#1])[#1])[c-0X3]1[c-0X3]([#1])[n-0X3]([C-0X4]([#1])([#1])[#1])[c-0X3]([n-0X2]1)[#1]
kcal/mol,10,22,0,-9.53,0.25,-10.22,[#1][c-0X3]1[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]2[c-0X3]1[c-0X3]([n-0X2][n-0X3]2[#1])[C-0X4]([#1])([#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[n-0X3]([C-0X4]([#1])([#1])[#1])[n-0X2][c-0X3]1[#1])[#1])[#1])[c-0X3]1[n-0X2][c-0X3]([c-0X3]([#1])[n-0X3]1[C-0X4]([#1])([#1])[#1])[#1]
