Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
43.0,38.0,0.54,-0.45,0.07,-0.43,0.68,N/A,N/A
43.0,42.0,0.41,0.56,0.12,0.33,0.68,N/A,N/A
43.0,45.0,0.74,0.27,0.22,0.48,0.22,N/A,N/A
17.0,16.0,-0.3,-0.74,0.06,-0.71,0.43,N/A,N/A
17.0,25.0,-0.8,-3.37,0.22,-3.28,0.43,N/A,N/A
17.0,45.0,-2.19,-2.89,0.12,-3.01,0.22,N/A,N/A
28.0,25.0,-3.57,-1.59,0.16,-1.96,0.66,N/A,N/A
28.0,30.0,-5.46,-2.72,0.27,-2.58,0.41,N/A,N/A
28.0,39.0,-5.29,-3.04,0.14,-2.81,0.66,N/A,N/A
22.0,21.0,0.53,0.9,0.13,0.45,1.04,N/A,N/A
22.0,26.0,0.07,0.5,0.16,1.17,1.04,N/A,N/A
22.0,32.0,0.73,0.61,0.14,0.39,0.72,N/A,N/A
16.0,14.0,0.95,0.79,0.08,0.87,0.37,N/A,N/A
16.0,15.0,1.59,1.36,0.08,1.29,0.21,N/A,N/A
16.0,20.0,-1.4,-0.77,0.09,-1.24,1.03,N/A,N/A
16.0,19.0,-1.44,-1.38,0.08,-0.88,1.03,N/A,N/A
30.0,33.0,0.58,1.48,0.15,1.74,0.42,N/A,N/A
30.0,37.0,0.17,-0.74,0.14,-0.86,0.42,N/A,N/A
21.0,20.0,-0.94,-0.49,0.22,-0.07,1.03,N/A,N/A
21.0,41.0,-1.52,-2.49,0.3,-2.89,1.03,N/A,N/A
21.0,29.0,0.5,-2.26,0.19,-2.06,0.62,N/A,N/A
21.0,26.0,-0.46,1.4,0.23,0.73,1.04,N/A,N/A
24.0,42.0,-1.17,-3.65,0.21,-3.07,0.68,N/A,N/A
24.0,33.0,-0.76,-1.5,0.17,-2.08,0.68,N/A,N/A
38.0,29.0,2.12,-0.05,0.41,-0.03,0.68,N/A,N/A
31.0,25.0,2.13,1.03,0.21,0.91,0.21,N/A,N/A
31.0,37.0,0.41,-0.69,0.1,-0.57,0.12,N/A,N/A
41.0,39.0,-0.24,0.62,0.06,0.64,0.63,N/A,N/A
41.0,40.0,0.09,1.36,0.33,0.94,1.03,N/A,N/A
29.0,33.0,-1.84,1.55,0.23,1.78,0.68,N/A,N/A
20.0,35.0,-0.82,-1.61,0.16,-1.66,0.22,N/A,N/A
42.0,13.0,0.24,-0.25,0.09,0.1,0.35,N/A,N/A
35.0,18.0,0.54,2.71,0.12,2.63,0.22,N/A,N/A
35.0,27.0,3.04,-0.33,0.34,-0.06,0.45,N/A,N/A
35.0,37.0,0.0,-1.14,0.1,-1.15,0.42,N/A,N/A
35.0,36.0,0.24,-0.12,0.1,-0.36,0.45,N/A,N/A
44.0,32.0,1.96,1.58,0.2,1.66,0.51,N/A,N/A
44.0,36.0,0.24,-0.3,0.32,-0.38,0.51,N/A,N/A
18.0,13.0,-0.3,-2.01,0.14,-2.08,0.19,N/A,N/A
18.0,15.0,3.27,1.5,0.09,1.57,0.21,N/A,N/A
18.0,45.0,-0.21,-1.94,0.12,-2.03,0.22,N/A,N/A
40.0,19.0,0.45,2.55,0.15,2.25,1.03,N/A,N/A
40.0,33.0,0.08,1.8,0.14,1.68,0.73,N/A,N/A
19.0,32.0,1.18,-0.14,0.11,-0.35,0.73,N/A,N/A
19.0,25.0,0.94,-2.11,0.24,-1.7,0.66,N/A,N/A
33.0,32.0,1.55,0.81,0.13,0.22,0.99,N/A,N/A
33.0,34.0,-0.08,-1.96,0.11,-1.59,0.99,N/A,N/A
27.0,36.0,-2.8,-0.57,0.22,-0.3,0.45,N/A,N/A
13.0,14.0,2.93,2.94,0.22,3.22,0.28,N/A,N/A
39.0,32.0,1.96,1.94,0.14,2.19,0.66,N/A,N/A
32.0,23.0,0.53,1.25,0.33,0.56,0.99,N/A,N/A
23.0,14.0,0.67,1.89,0.5,1.53,0.5,N/A,N/A
23.0,34.0,-2.16,-2.04,0.25,-2.37,0.99,N/A,N/A
34.0,36.0,-0.09,-0.26,0.08,-0.22,0.51,N/A,N/A
