"Title","Exp. ΔG","MMGBSA dG Bind"
"43",-11.8699999999999992,-57.5165306161652978
"17",-8.9399999999999995,-49.6691529835425030
"28",-6.1699999999999999,-48.9108157306564024
"22",-10.2200000000000006,-58.7074123394850034
"16",-9.2400000000000002,-52.9450542304330014
"30",-11.6300000000000008,-65.5661525083996963
"21",-9.6999999999999993,-56.2841722417815973
"24",-10.2799999999999994,-58.8415918405225966
"38",-11.3200000000000003,-57.8891937613297998
"31",-11.8699999999999992,-64.7127976899354991
"41",-11.2200000000000006,-59.1011679736383968
"29",-9.1999999999999993,-53.6184386623245004
"26",-10.1600000000000001,-63.3601098552916966
"20",-10.6400000000000006,-57.2722248062909998
"42",-11.4600000000000009,-65.0442787728170941
"35",-11.4600000000000009,-63.1673095175920025
"44",-11.4600000000000009,-64.1510052467966005
"18",-10.9100000000000001,-54.6039209500740981
"40",-11.1300000000000008,-60.5437947080262973
"19",-10.6699999999999999,-56.1523094194325978
"33",-11.0500000000000007,-56.6515149417936996
"27",-8.4100000000000001,-50.7727803840498026
"13",-11.2200000000000006,-62.3248259804495035
"39",-11.4600000000000009,-61.7894357788445987
"32",-9.4900000000000002,-51.2554028120048031
"37",-11.4600000000000009,-62.0325174568060973
"23",-8.9600000000000009,-50.2503584293227021
"15",-7.6399999999999997,-55.9511490213771978
"34",-11.1300000000000008,-63.5588299011251010
"25",-9.7400000000000002,-52.6756558127800005
"14",-8.2899999999999991,-38.6722778700478003
"45",-11.1300000000000008,-62.6537988822964991
"36",-11.2200000000000006,-59.8132861814646972
