Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Exp. Error,Structure
kcal/mol,1,CHEMBL3402753_200,0,-9.85,0.33,-9.14,N/A,Cc1ccc(nc1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,2,CHEMBL3402759_5.7,0,-12.62,0.45,-11.25,N/A,C[NH+](C)CCCOc(cn1)cnc1-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(OC)ccc4
kcal/mol,3,CHEMBL3402747_3400,0,-5.6,0.34,-7.46,N/A,Cc1nc(on1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,4,CHEMBL3402744_300,0,-7.48,0.35,-8.9,N/A,COC(=O)Nc(ccc1)cc1Cn(n2)c(=O)ccc2-c3cc(F)cc(F)c3
kcal/mol,5,CHEMBL3402745_200,0,-8.09,0.35,-9.14,N/A,CCOC(=O)Nc(ccc1)cc1Cn(n2)c(=O)ccc2-c3cc(F)cc(F)c3
kcal/mol,6,CHEMBL3402761_1,0,-12.21,0.33,-12.28,N/A,N#Cc1cc(ccc1)-c2ccc(=O)n(n2)Cc3cc(ccc3)-c4ncc(cn4)OCCN5CCOCC5
kcal/mol,7,CHEMBL3402750_400,0,-8.76,0.34,-8.73,N/A,Cc1cnc(s1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,8,CHEMBL3402743_42,0,-8.74,0.39,-10.06,N/A,C[NH+](C)CCCOC(=O)Nc(ccc1)cc1Cn(n2)c(=O)ccc2-c3cc(F)cc(F)c3
kcal/mol,9,CHEMBL3402752_30000,0,-5.86,0.34,-6.17,N/A,Cc(n1)scc1-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,10,CHEMBL3402755_4200,0,-8.22,0.33,-7.34,N/A,Cc1ccc(nn1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,11,CHEMBL3402758_10,0,-12.59,0.47,-10.91,N/A,C[NH+](C)CCCOc(cn1)cnc1-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cccnc4
kcal/mol,12,CHEMBL3402749_500,0,-7.16,0.33,-8.6,N/A,Cc1cnc(o1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,13,CHEMBL3402757_6.5,0,-11.62,0.48,-11.17,N/A,C[NH+](C)CCCOc(cn1)cnc1-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)ccc4
kcal/mol,14,CHEMBL3402765_11,0,-10.19,0.35,-10.86,N/A,C1COCCN1CCCOC(=O)Nc(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,15,CHEMBL3402762_1,0,-13.85,0.47,-12.28,N/A,N#Cc1cc(ccc1)-c2ccc(=O)n(n2)Cc3cc(ccc3)-c4ncc(cn4)OC[C@H]5CC[N@H+](C)CC5
kcal/mol,16,CHEMBL3402742_23,0,-10.38,0.38,-10.42,N/A,C[NH+](C)CCCOC(=O)Nc(ccc1)cc1CN(C(=O)SC2)N=C2c3cc(F)cc(F)c3
kcal/mol,17,CHEMBL3402754_40,0,-9.49,0.33,-10.09,N/A,Cc1cnc(nc1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,18,CHEMBL3402748_5300,0,-6.89,0.33,-7.2,N/A,Cc1cnc([nH]1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,19,CHEMBL3402741_400,0,-11.3,0.5,-8.73,N/A,CC[NH+](CC)CCCOC(=O)Nc(ccc1)cc1CN(C(=O)SC2)N=C2c3cc(OC)c(cc3)OC
kcal/mol,20,CHEMBL3402763_90,0,-10.99,0.45,-9.61,N/A,CC[NH+](CC)CCCOC(=O)Nc(ccc1)cc1CN(C(=O)SC2)N=C2c3ccc(Cl)cc3
kcal/mol,21,CHEMBL3402764_90,0,-8.66,0.41,-9.61,N/A,C[NH+](C)CCCOC(=O)Nc(ccc1)cc1Cn(n2)c(=O)ccc2-c3ccc(F)cc3
kcal/mol,22,CHEMBL3402751_2100,0,-6.72,0.35,-7.75,N/A,Cc1csc(n1)-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,23,CHEMBL3402756_2.7,0,-12.06,0.47,-11.69,N/A,C[NH+](C)CCCOc(cn1)cnc1-c(ccc2)cc2Cn(n3)c(=O)ccc3-c4cc(F)cc(F)c4
kcal/mol,24,CHEMBL3402760_1,0,-12.32,0.39,-12.28,N/A,N#Cc1cc(ccc1)-c2ccc(=O)n(n2)Cc3cc(ccc3)-c4ncc(cn4)OCCC[NH+](C)C
