Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402744_300,1.96,2.43,0.09,2.53,1.03,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402745_200,1.72,1.44,0.07,1.63,1.38,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402743_42,0.79,0.48,0.07,0.82,1.24,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402764_90,1.25,1.31,0.06,0.94,1.38,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402760_1,-1.42,-1.9,0.11,-2.32,1.29,N/A,N/A
CHEMBL3402765_11-charged-pKa-8.1,CHEMBL3402742_23,0.44,-1.07,0.1,-0.91,1.29,N/A,N/A
CHEMBL3402753_200,CHEMBL3402747_3400,1.68,3.52,0.05,3.92,0.62,N/A,N/A
CHEMBL3402753_200,CHEMBL3402761_1,-3.14,-1.78,0.12,-2.34,0.62,N/A,N/A
CHEMBL3402753_200,CHEMBL3402755_4200,1.8,1.61,0.03,1.53,0.54,N/A,N/A
CHEMBL3402753_200,CHEMBL3402750_400,0.41,0.45,0.04,0.7,0.32,N/A,N/A
CHEMBL3402759_5.7,CHEMBL3402757_6.5,0.08,0.53,0.15,0.13,0.86,N/A,N/A
CHEMBL3402759_5.7,CHEMBL3402763_90,1.63,0.45,0.2,0.97,0.98,N/A,N/A
CHEMBL3402759_5.7,CHEMBL3402758_10,0.33,-0.19,0.15,-0.31,0.98,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402744_300,-1.44,-1.44,0.11,-1.44,0.89,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402749_500,-1.14,-1.62,0.06,-1.5,0.89,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402751_2100,-0.29,-1.19,0.06,-1.0,0.83,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402752_30000,1.29,-0.3,0.07,0.04,0.64,N/A,N/A
CHEMBL3402747_3400,CHEMBL3402755_4200,0.13,-2.13,0.07,-2.39,0.49,N/A,N/A
CHEMBL3402744_300,CHEMBL3402745_200,-0.24,-0.88,0.06,-0.9,0.98,N/A,N/A
CHEMBL3402744_300,CHEMBL3402752_30000,2.73,2.24,0.24,1.49,1.03,N/A,N/A
CHEMBL3402744_300,CHEMBL3402756_2.7,-2.79,-4.59,0.25,-4.21,1.03,N/A,N/A
CHEMBL3402744_300,CHEMBL3402757_6.5,-2.27,-4.88,0.33,-4.39,1.02,N/A,N/A
CHEMBL3402745_200,CHEMBL3402743_42,-0.92,-1.01,0.13,-0.8,1.25,N/A,N/A
CHEMBL3402745_200,CHEMBL3402742_23,-1.28,-3.01,0.19,-2.53,1.38,N/A,N/A
CHEMBL3402745_200,CHEMBL3402748_5300,1.94,1.93,0.18,1.34,0.89,N/A,N/A
CHEMBL3402745_200,CHEMBL3402752_30000,2.97,1.95,0.14,2.39,1.03,N/A,N/A
CHEMBL3402745_200,CHEMBL3402756_2.7,-2.55,-2.93,0.17,-3.3,1.25,N/A,N/A
CHEMBL3402761_1,CHEMBL3402755_4200,4.94,3.45,0.12,3.86,0.54,N/A,N/A
CHEMBL3402761_1,CHEMBL3402754_40,2.19,2.66,0.12,2.58,0.62,N/A,N/A
CHEMBL3402761_1,CHEMBL3402760_1,0.0,0.37,0.19,-0.03,0.51,N/A,N/A
CHEMBL3402761_1,CHEMBL3402762_1,0.0,-0.73,0.19,-1.23,0.51,N/A,N/A
CHEMBL3402750_400,CHEMBL3402749_500,0.13,1.58,0.05,1.72,0.65,N/A,N/A
CHEMBL3402750_400,CHEMBL3402748_5300,1.53,1.97,0.07,2.22,0.64,N/A,N/A
CHEMBL3402750_400,CHEMBL3402751_2100,0.98,2.36,0.04,2.22,0.65,N/A,N/A
CHEMBL3402743_42,CHEMBL3402758_10,-0.85,-3.38,0.58,-3.12,1.36,N/A,N/A
CHEMBL3402743_42,CHEMBL3402762_1,-2.21,-4.63,0.71,-4.33,0.72,N/A,N/A
CHEMBL3402743_42,CHEMBL3402760_1,-2.21,-4.14,0.82,-3.14,1.29,N/A,N/A
CHEMBL3402743_42,CHEMBL3402742_23,-0.36,-1.71,0.11,-1.73,1.24,N/A,N/A
CHEMBL3402743_42,CHEMBL3402764_90,0.45,0.51,0.06,0.11,1.36,N/A,N/A
CHEMBL3402743_42,CHEMBL3402763_90,0.45,-1.45,0.13,-1.85,1.15,N/A,N/A
CHEMBL3402743_42,CHEMBL3402756_2.7,-1.63,-2.32,0.43,-2.5,1.29,N/A,N/A
CHEMBL3402752_30000,CHEMBL3402754_40,-3.92,-3.72,0.07,-3.71,0.62,N/A,N/A
CHEMBL3402752_30000,CHEMBL3402751_2100,-1.58,-1.07,0.04,-1.05,0.65,N/A,N/A
CHEMBL3402755_4200,CHEMBL3402754_40,-2.76,-1.35,0.04,-1.28,0.38,N/A,N/A
CHEMBL3402758_10,CHEMBL3402742_23,0.49,1.05,1.01,1.39,1.36,N/A,N/A
CHEMBL3402758_10,CHEMBL3402760_1,-1.36,-0.04,0.11,-0.02,1.14,N/A,N/A
CHEMBL3402758_10,CHEMBL3402756_2.7,-0.78,0.85,0.16,0.62,1.06,N/A,N/A
CHEMBL3402749_500,CHEMBL3402748_5300,1.4,0.23,0.04,0.5,0.89,N/A,N/A
CHEMBL3402757_6.5,CHEMBL3402756_2.7,-0.52,0.1,0.08,0.19,1.02,N/A,N/A
CHEMBL3402762_1,CHEMBL3402760_1,0.0,1.39,0.06,1.19,0.72,N/A,N/A
CHEMBL3402742_23,CHEMBL3402763_90,0.81,-0.18,0.06,-0.12,1.06,N/A,N/A
CHEMBL3402742_23,CHEMBL3402756_2.7,-1.27,-1.67,0.8,-0.77,1.38,N/A,N/A
CHEMBL3402748_5300,CHEMBL3402751_2100,-0.55,0.07,0.09,-0.0,0.83,N/A,N/A
CHEMBL3402741_400,CHEMBL3402763_90,-0.88,-0.54,0.1,-0.8,0.98,N/A,N/A
CHEMBL3402741_400,CHEMBL3402756_2.7,-2.96,-0.86,0.18,-1.45,1.38,N/A,N/A
CHEMBL3402741_400,CHEMBL3402764_90,-0.88,0.31,0.19,1.16,1.38,N/A,N/A
CHEMBL3402763_90,CHEMBL3402764_90,0.0,2.05,0.16,1.96,1.15,N/A,N/A
