"Title","glide gscore","Exp. ΔG"
"CHEMBL3402759_5.7",-11.8568087816226999,-11.2500000000000000
"CHEMBL3402762_1",-11.7686264798854001,-12.2799999999999994
"CHEMBL3402753_200",-11.6390631171961996,-9.1400000000000006
"CHEMBL3402757_6.5",-11.4941413497558003,-11.1699999999999999
"CHEMBL3402761_1",-11.3991573580776997,-12.2799999999999994
"CHEMBL3402754_40",-11.3376950564141001,-10.0899999999999999
"CHEMBL3402758_10",-11.3262069526422007,-10.9100000000000001
"CHEMBL3402756_2.7",-11.3109740495962008,-11.6899999999999995
"CHEMBL3402765_11",-11.2098159106270998,-10.8599999999999994
"CHEMBL3402742_23",-11.0450498205446994,-10.4199999999999999
"CHEMBL3402750_400",-11.0445573366231002,-8.7300000000000004
"CHEMBL3402743_42",-11.0217292073498001,-10.0600000000000005
"CHEMBL3402755_4200",-10.8304532141762007,-7.3399999999999999
"CHEMBL3402741_400",-10.8065833007805008,-8.7300000000000004
"CHEMBL3402748_5300",-10.7831315164080994,-7.2000000000000002
"CHEMBL3402745_200",-10.7644162595479997,-9.1400000000000006
"CHEMBL3402751_2100",-10.7292093053527005,-7.7500000000000000
"CHEMBL3402764_90",-10.6121722148609994,-9.6099999999999994
"CHEMBL3402747_3400",-10.5906437566370997,-7.4600000000000000
"CHEMBL3402752_30000",-10.5854391991886008,-6.1699999999999999
"CHEMBL3402760_1",-10.5635654267543000,-12.2799999999999994
"CHEMBL3402744_300",-10.5582012088319992,-8.9000000000000004
"CHEMBL3402749_500",-10.5470808778485008,-8.5999999999999996
"CHEMBL3402763_90",-10.3416705225045007,-9.6099999999999994
