Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,1,CHEMBL1078774,0,-9.17,0.22,-10.6,[#1][C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[N-0X3]([#1])[C-0X4]([#1])([C-0X4]3([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]3([#1])[c-0X3]2[c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([O-0X2][#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[#1])[#1]
kcal/mol,2,CHEMBL1093087,0,-11.56,0.25,-10.53,[#1][N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]([C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([F-0X1])([F-0X1])[F-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,3,CHEMBL1082249,0,-11.07,0.25,-11.22,[#1][C-0X4]([#1])([#1])[C-0X3](=[O-0X1])[N-0X3]([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([F-0X1])[c-0X3]([c-0X3]([Br-0X1])[c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,4,CHEMBL1089393,0,-8.57,0.22,-8.38,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([Cl-0X1])[c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,5,CHEMBL1077227,0,-10.82,0.21,-11.32,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[s-0X2]1)[#1]
kcal/mol,6,CHEMBL1078691,0,-10.23,0.21,-10.19,[#1][C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[N-0X3]([#1])[C-0X4]([#1])([C-0X4]3([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]3([#1])[c-0X3]2[c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([O-0X2][#1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[#1]
kcal/mol,7,CHEMBL1086409,0,-9.68,0.22,-9.87,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([F-0X1])([F-0X1])[F-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([F-0X1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,8,CHEMBL1082248,0,-11.09,0.23,-11.63,[#1][C-0X4]([#1])([#1])[N+X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([F-0X1])[c-0X3]([c-0X3]([Br-0X1])[c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1]
kcal/mol,9,CHEMBL1084678,0,-13.62,0.25,-11.13,[#1][C-0X4]([#1])([#1])[N-0X3]([C-0X4]([#1])([#1])[C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]2([#1])[C-0X4]([#1])([N-0X3]([#1])[c-0X3]3[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]3[C-0X4]2([#1])[O-0X2]1)[#1])[C-0X4]([F-0X1])([F-0X1])[F-0X1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[#1])[S-0X4](=[O-0X1])(=[O-0X1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N+X4]([#1])([#1])[#1]
kcal/mol,10,CHEMBL1084115,0,-9.81,0.22,-9.44,[#1][C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[N-0X3]([#1])[C-0X4]([#1])([C-0X4]3([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[O-0X2][C-0X4]3([#1])[c-0X3]2[c-0X3]1[#1])[c-0X3]1[c-0X3]([#1])[s-0X2][c-0X3]([c-0X3]1[#1])[#1])[#1]
