Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL1078774,CHEMBL1089056,1.16,-0.42,0.09,-0.24,0.35,N/A,N/A
CHEMBL1078774,CHEMBL1088740,1.9,0.7,0.2,0.52,0.35,N/A,N/A
CHEMBL1093087,CHEMBL1084678,-0.59,-2.3,0.21,-2.06,0.98,N/A,N/A
CHEMBL1093087,CHEMBL1096003,-1.33,-0.36,0.26,-0.61,0.98,N/A,N/A
CHEMBL1093087,CHEMBL1086409,0.66,1.74,0.23,1.88,0.82,N/A,N/A
CHEMBL1093087,CHEMBL1083517,-0.92,0.45,0.2,0.32,0.8,N/A,N/A
CHEMBL1082249,CHEMBL1086409,1.34,1.3,0.13,1.39,0.88,N/A,N/A
CHEMBL1082249,CHEMBL1077227,-0.11,0.85,0.17,0.25,0.98,N/A,N/A
CHEMBL1082249,CHEMBL1082248,-0.41,0.15,0.16,-0.02,1.17,N/A,N/A
CHEMBL1082249,CHEMBL1096003,-0.65,-1.78,0.29,-1.09,1.17,N/A,N/A
CHEMBL1089393,CHEMBL1093088,-2.84,-1.11,0.17,-1.08,0.31,N/A,N/A
CHEMBL1089393,CHEMBL1088740,-0.32,0.11,0.02,-0.07,0.43,N/A,N/A
CHEMBL1089393,CHEMBL1085895,-2.48,-2.5,0.14,-2.35,0.43,N/A,N/A
CHEMBL1078691,CHEMBL1089056,0.75,0.81,0.1,0.83,0.22,N/A,N/A
CHEMBL1078691,CHEMBL1093088,-1.03,0.6,0.2,0.58,0.22,N/A,N/A
CHEMBL1086409,CHEMBL1082248,-1.75,-1.23,0.06,-1.41,1.09,N/A,N/A
CHEMBL1086409,CHEMBL1085666,-0.63,-1.15,0.08,-0.97,1.09,N/A,N/A
CHEMBL1086409,CHEMBL1084676,-0.84,-1.16,0.09,-0.92,1.01,N/A,N/A
CHEMBL1086409,CHEMBL1083517,-1.58,-1.66,0.09,-1.56,0.93,N/A,N/A
CHEMBL1086409,CHEMBL1086410,-1.58,-0.43,0.08,-0.59,0.88,N/A,N/A
CHEMBL1086409,CHEMBL1084678,-1.25,-3.98,0.13,-3.94,1.01,N/A,N/A
CHEMBL1082248,CHEMBL1084678,0.5,-1.79,0.15,-2.52,1.3,N/A,N/A
CHEMBL1082248,CHEMBL1086410,0.17,0.73,0.04,0.82,0.88,N/A,N/A
CHEMBL1082248,CHEMBL1083517,0.17,-0.05,0.1,-0.15,0.85,N/A,N/A
CHEMBL1082248,CHEMBL1084143,-0.24,-1.48,0.11,-1.15,1.3,N/A,N/A
CHEMBL1082248,CHEMBL1096002,0.5,0.02,0.08,0.13,1.09,N/A,N/A
CHEMBL1082248,CHEMBL1083836,0.77,0.62,0.04,0.56,0.98,N/A,N/A
CHEMBL1084678,CHEMBL1084935,0.59,3.89,0.15,4.23,0.98,N/A,N/A
CHEMBL1084678,CHEMBL1084431,1.32,4.25,0.18,3.57,1.17,N/A,N/A
CHEMBL1084678,CHEMBL1077204,0.08,2.13,0.38,1.96,1.17,N/A,N/A
CHEMBL1084678,CHEMBL1084143,-0.74,1.16,0.23,1.38,1.05,N/A,N/A
CHEMBL1084678,CHEMBL1084676,0.41,3.49,0.34,3.02,1.3,N/A,N/A
CHEMBL1084678,CHEMBL1084677,-0.33,1.46,0.26,1.78,1.17,N/A,N/A
CHEMBL1084115,CHEMBL1078998,-0.93,-0.49,0.08,-0.65,0.43,N/A,N/A
CHEMBL1084115,CHEMBL1088740,0.74,0.95,0.07,1.16,0.43,N/A,N/A
CHEMBL1084115,CHEMBL1089056,0.0,0.45,0.05,0.4,0.39,N/A,N/A
CHEMBL1084431,CHEMBL1083517,-1.65,-0.81,0.2,-1.19,1.09,N/A,N/A
CHEMBL1084431,CHEMBL1096002,-1.32,-0.39,0.18,-0.92,1.17,N/A,N/A
CHEMBL1084431,CHEMBL1085666,-0.7,-0.83,0.2,-0.6,0.77,N/A,N/A
CHEMBL1085895,CHEMBL1078998,0.49,0.2,0.21,0.46,0.43,N/A,N/A
CHEMBL1085895,CHEMBL1088740,2.16,2.38,0.13,2.27,0.37,N/A,N/A
CHEMBL1084677,CHEMBL1083836,0.6,1.0,0.08,1.31,0.96,N/A,N/A
CHEMBL1084677,CHEMBL1085692,0.13,-0.7,0.12,-0.81,0.9,N/A,N/A
CHEMBL1084677,CHEMBL1084676,0.74,0.96,0.13,1.24,1.17,N/A,N/A
CHEMBL1084677,CHEMBL1096003,-0.41,-0.17,0.17,-0.33,1.02,N/A,N/A
CHEMBL1077227,CHEMBL1085666,0.82,0.24,0.11,0.17,0.87,N/A,N/A
CHEMBL1077227,CHEMBL1078998,0.95,0.39,0.08,0.37,0.2,N/A,N/A
CHEMBL1077227,CHEMBL1086410,-0.13,0.77,0.04,0.55,0.73,N/A,N/A
CHEMBL1077227,CHEMBL1084935,0.79,1.72,0.11,1.43,0.98,N/A,N/A
CHEMBL1086410,CHEMBL1096002,0.33,-0.63,0.11,-0.69,0.88,N/A,N/A
CHEMBL1086410,CHEMBL1089056,2.02,0.84,0.07,0.86,0.2,N/A,N/A
CHEMBL1086410,CHEMBL1084935,0.92,1.13,0.1,0.88,0.78,N/A,N/A
CHEMBL1083517,CHEMBL1085666,0.95,1.09,0.18,0.59,1.09,N/A,N/A
CHEMBL1096003,CHEMBL1084143,0.0,-0.36,0.1,-0.08,1.17,N/A,N/A
CHEMBL1077204,CHEMBL1083836,0.19,1.01,0.11,1.13,1.05,N/A,N/A
CHEMBL1077204,CHEMBL1084143,-0.82,0.24,0.37,-0.59,1.3,N/A,N/A
CHEMBL1077204,CHEMBL1084676,0.33,0.51,0.13,1.05,1.3,N/A,N/A
CHEMBL1083836,CHEMBL1085666,0.35,-0.29,0.09,-0.12,0.98,N/A,N/A
CHEMBL1083836,CHEMBL1096002,-0.27,-0.64,0.14,-0.44,1.05,N/A,N/A
CHEMBL1085692,CHEMBL1096002,0.2,1.21,0.08,1.69,1.17,N/A,N/A
CHEMBL1085692,CHEMBL1084676,0.61,2.64,0.36,2.05,1.17,N/A,N/A
CHEMBL1096002,CHEMBL1084935,0.59,1.37,0.17,1.57,0.78,N/A,N/A
CHEMBL1089056,CHEMBL1088740,0.74,0.51,0.03,0.76,0.42,N/A,N/A
CHEMBL1089056,CHEMBL1078998,-0.93,-0.97,0.05,-1.05,0.42,N/A,N/A
CHEMBL1093088,CHEMBL1088740,2.52,1.0,0.06,1.01,0.31,N/A,N/A
