"Title","glide gscore","exp dg"
"CHEMBL1083517",-11.6600959228501999,-11.4568999999999992
"CHEMBL1078774",-11.1760892206084002,-10.5996000000000006
"CHEMBL1078691",-11.1634304018914001,-10.1889000000000003
"CHEMBL1086409",-10.0873743074987008,-9.8724699999999999
"CHEMBL1084678",-10.0172871252455007,-11.1252999999999993
"CHEMBL1093087",-9.8499741410189507,-10.5336999999999996
"CHEMBL1085666",-9.8211478625290098,-10.5032999999999994
"CHEMBL1084676",-9.7089206325373496,-10.7146000000000008
"CHEMBL1086410",-9.6271388168889303,-11.4568999999999992
"CHEMBL1077204",-9.6103314825215893,-11.0462000000000007
"CHEMBL1084677",-9.6043690476512307,-11.4568999999999992
"CHEMBL1093088",-9.4855560449010898,-11.2165999999999997
"CHEMBL1085895",-9.3512829136202402,-10.8574999999999999
"CHEMBL1077227",-9.3054037480131004,-11.3247000000000000
"CHEMBL1096002",-9.2150726871731905,-11.1252999999999993
"CHEMBL1089056",-9.1716159353462192,-9.4417100000000005
"CHEMBL1084935",-9.2358466856437396,-10.5336999999999996
"CHEMBL1084431",-9.1510339573902595,-9.8049599999999995
"CHEMBL1084115",-8.9093174371303405,-9.4417100000000005
"CHEMBL1078998",-8.8814478358747309,-10.3711000000000002
"CHEMBL1084143",-8.8338336199823893,-11.8674999999999997
"CHEMBL1088740",-8.2836218250056799,-8.6994600000000002
"CHEMBL1082249",-8.0428736964128795,-11.2165999999999997
"CHEMBL1089393",-8.0369540022784598,-8.3801199999999998
"CHEMBL1096003",-7.9908982101808803,-11.8674999999999997
"CHEMBL1082248",-7.9320999519239601,-11.6273000000000000
"CHEMBL1085692",-7.6100501501228504,-11.3247000000000000
"CHEMBL1083836",-7.4252238241588104,-10.8574999999999999
