"Title","glide gscore","exp dg"
"CHEMBL1083517",-11.3436573945839001,-11.4568999999999992
"CHEMBL1078691",-11.1391293851803006,-10.1889000000000003
"CHEMBL1078774",-10.8632525795602994,-10.5996000000000006
"CHEMBL1086409",-9.7528857059437399,-9.8724699999999999
"CHEMBL1085666",-9.7283600059424806,-10.5032999999999994
"CHEMBL1093088",-9.4847047167733400,-11.2165999999999997
"CHEMBL1084431",-9.4780835917034292,-9.8049599999999995
"CHEMBL1084678",-9.4369650624108807,-11.1252999999999993
"CHEMBL1086410",-9.4349419461797908,-11.4568999999999992
"CHEMBL1089056",-9.1623313995600597,-9.4417100000000005
"CHEMBL1077227",-9.0700582967754304,-11.3247000000000000
"CHEMBL1084677",-9.0645523676104798,-11.4568999999999992
"CHEMBL1084935",-9.0870245705238393,-10.5336999999999996
"CHEMBL1085895",-8.9090577603518195,-10.8574999999999999
"CHEMBL1084115",-8.8855886450993395,-9.4417100000000005
"CHEMBL1078998",-8.8601740575257804,-10.3711000000000002
"CHEMBL1084676",-8.7432245782046500,-10.7146000000000008
"CHEMBL1084143",-8.7211543608080309,-11.8674999999999997
"CHEMBL1083836",-8.5825918201649394,-10.8574999999999999
"CHEMBL1077204",-8.4755300360830592,-11.0462000000000007
"CHEMBL1093087",-8.4483563157821298,-10.5336999999999996
"CHEMBL1088740",-8.2790270649412907,-8.6994600000000002
"CHEMBL1089393",-8.1970756869386499,-8.3801199999999998
"CHEMBL1096002",-7.7829020495521197,-11.1252999999999993
"CHEMBL1082248",-7.7712416049523396,-11.6273000000000000
"CHEMBL1096003",-7.6613183786415702,-11.8674999999999997
"CHEMBL1082249",-7.2674340675906297,-11.2165999999999997
"CHEMBL1085692",-7.1886955745693601,-11.3247000000000000
