"Title","MMGBSA dG Bind","exp dg"
"CHEMBL1083517",-74.9196220487192051,-11.4568999999999992
"CHEMBL1084143",-60.2905599657915019,-11.8674999999999997
"CHEMBL1089393",-57.3085454705961013,-8.3801199999999998
"CHEMBL1086410",-69.0584659187406942,-11.4568999999999992
"CHEMBL1084115",-52.8340975080337003,-9.4417100000000005
"CHEMBL1083836",-59.5119796120415998,-10.8574999999999999
"CHEMBL1084935",-67.7930298560749947,-10.5336999999999996
"CHEMBL1093087",-44.0565371952179987,-10.5336999999999996
"CHEMBL1084431",-61.0015936331219990,-9.8049599999999995
"CHEMBL1078998",-56.5328308606022034,-10.3711000000000002
"CHEMBL1088740",-55.6724955346763011,-8.6994600000000002
"CHEMBL1077227",-65.7511876032713047,-11.3247000000000000
"CHEMBL1096003",-55.7084622153360982,-11.8674999999999997
"CHEMBL1078774",-60.3105827500439986,-10.5996000000000006
"CHEMBL1086409",-67.0290641695519014,-9.8724699999999999
"CHEMBL1085692",-55.1515071704071005,-11.3247000000000000
"CHEMBL1089056",-60.6074002550194990,-9.4417100000000005
"CHEMBL1085895",-51.7078928583595996,-10.8574999999999999
"CHEMBL1082248",-62.7969659755145031,-11.6273000000000000
"CHEMBL1093088",-49.1088701628232016,-11.2165999999999997
"CHEMBL1084677",-60.2290300229506030,-11.4568999999999992
"CHEMBL1084678",-66.9986835701457011,-11.1252999999999993
"CHEMBL1078691",-69.5769057153629973,-10.1889000000000003
"CHEMBL1084676",-53.1975063804965984,-10.7146000000000008
"CHEMBL1085666",-58.8834477839737005,-10.5032999999999994
"CHEMBL1077204",-55.8683331003775976,-11.0462000000000007
"CHEMBL1082249",-48.7143778233294000,-11.2165999999999997
"CHEMBL1096002",-66.4016980944724935,-11.1252999999999993
