"Title","glide gscore","exp dg"
"165",-12.4532749680861006,-9.2353400000000008
"163",-11.7751096405401992,-11.0103000000000009
"290",-11.7834974773272005,-10.5656999999999996
"231",-11.6223297416531999,-10.0228000000000002
"252",-11.5990827450370002,-9.7123299999999997
"57",-11.5867961265032999,-10.6737000000000002
"42",-11.5813301141142997,-8.9396900000000006
"155",-11.5704056785470009,-10.5032999999999994
"15",-11.5561024274950004,-11.0462000000000007
"234",-11.5502738623154997,-10.3477999999999994
"289",-11.5410026174894007,-10.9139999999999997
"227",-11.4204500448251007,-10.7584999999999997
"67",-11.3815703572947999,-10.1716999999999995
"338",-11.3770352832605006,-10.7584999999999997
"215",-11.3274044356699992,-10.5996000000000006
"206",-11.3199575414706004,-10.1229999999999993
"54",-11.2654688437296997,-9.3094999999999999
"41",-11.2512564426530002,-9.7870100000000004
"336",-11.2136745802528992,-9.8234800000000000
"156",-11.1897660481260992,-9.7361900000000006
"256",-11.1832090551280992,-10.6737000000000002
"167",-11.1645513374676995,-10.6737000000000002
"254",-11.1412455637909993,-9.5497300000000003
"61",-11.0245388055207005,-10.1075999999999997
"1",-10.9847635764920000,-11.3247000000000000
"251",-10.9696948860656995,-10.2436000000000007
"235",-10.8214682266980997,-10.1229999999999993
"23",-10.6856962547460004,-7.0674200000000003
"164",-10.7174358848431996,-6.7647599999999999
"7a",-10.6203729803564997,-9.9970700000000008
"266",-10.6182246130539006,-10.5336999999999996
"237",-10.3561499465495004,-9.5497300000000003
"35",-10.3194848024091002,-7.1542800000000000
"25",-10.2726722847855001,-10.2832000000000008
"43",-10.2590710192915004,-8.6994600000000002
"31",-10.0850214337324999,-8.8423499999999997
"124",-9.9935426864403407,-10.1229999999999993
"7b",-9.9763771378291501,-7.3945100000000004
"30",-9.8522334771551705,-10.5656999999999996
"84",-9.7708863854071808,-7.5754500000000000
"50",-9.6869683590489100,-9.6969399999999997
"224",-9.2169599909303397,-9.6601300000000005
