"Title","glide gscore","exp dg"
"68",-10.8007655754315994,-9.7782300000000006
"26",-10.5228032461516001,-9.1694399999999998
"67",-10.4977918205810994,-10.2436000000000007
"53",-10.4278359853754008,-6.9976399999999996
"34",-10.3333823825189999,-9.9723799999999994
"56",-10.3067658596720992,-10.5656999999999996
"57",-10.2965248795199003,-10.4743999999999993
"55",-10.2524414175546994,-10.6355000000000004
"52",-10.2311018676290999,-10.3953000000000007
"54",-10.1191418181456001,-8.1795899999999993
"24",-10.0870699795533998,-8.8699100000000008
"23",-10.0188420456640994,-7.9144600000000001
"30",-9.9837950185487401,-9.1981900000000003
"29",-9.9447248111546198,-9.6460200000000000
"33",-9.9150547238053299,-8.6069200000000006
"19",-9.9129625986025403,-7.5507900000000001
"37",-9.9032700695732707,-9.9970700000000008
"35",-9.7537016752945593,-10.1387999999999998
"69",-9.6396755625275699,-10.7146000000000008
"36",-9.5996446335720602,-7.4405400000000004
"38",-9.5667183163645504,-8.7587600000000005
"70",-9.4850503723136708,-10.3039000000000005
"31",-10.0966045720793005,-9.2824700000000000
"64",-9.4054414696218203,-9.4222800000000007
"65",-9.1035406611761793,-9.4878999999999998
"58",-8.8823550792463202,-9.1331500000000005
"63",-8.8344129539056393,-8.5616400000000006
"42",-8.7818250787274703,-8.4667999999999992
"20",-8.6763554907603595,-8.5164500000000007
"59",-8.6607388243750201,-8.1151700000000009
"49",-8.5828198335038408,-7.9342899999999998
"46",-8.5501166566756392,-7.8593599999999997
"47",-8.5268105334575104,-8.3334499999999991
"48",-8.4456217372782199,-8.0063600000000008
"41",-8.4394991957604404,-7.3876900000000001
"44",-8.3111107515107392,-9.9486699999999999
"43",-8.3050978831443008,-7.9976599999999998
"62",-7.8884033891834200,-7.6917400000000002
"39",-7.7352822780831296,-7.1974999999999998
"60",-5.2150948143107803,-8.1437399999999993
