"Title","glide gscore","exp dg"
"68",-10.7915427288382002,-9.7782300000000006
"53",-10.5831117691669991,-6.9976399999999996
"52",-10.4641663526114002,-10.3953000000000007
"26",-10.3399275008892992,-9.1694399999999998
"67",-10.3283200233949000,-10.2436000000000007
"37",-10.3148255896197991,-9.9970700000000008
"56",-10.2899137614063001,-10.5656999999999996
"34",-10.2875237949732004,-9.9723799999999994
"57",-10.2648452009966000,-10.4743999999999993
"55",-10.2209801027918008,-10.6355000000000004
"24",-10.1279687581141005,-8.8699100000000008
"19",-10.0121272631385008,-7.5507900000000001
"35",-10.0062850538560006,-10.1387999999999998
"23",-9.9556771274136100,-7.9144600000000001
"33",-9.9203866378427197,-8.6069200000000006
"29",-9.8693393926286106,-9.6460200000000000
"54",-9.8334018131404495,-8.1795899999999993
"36",-9.8283284213315891,-7.4405400000000004
"69",-9.7295813284965096,-10.7146000000000008
"70",-9.7038610537574108,-10.3039000000000005
"30",-9.6838036591676193,-9.1981900000000003
"38",-9.4621196639436906,-8.7587600000000005
"64",-9.3278922540831406,-9.4222800000000007
"31",-9.9182647848185805,-9.2824700000000000
"58",-9.2218181848746692,-9.1331500000000005
"60",-9.1510634266140407,-8.1437399999999993
"65",-9.0986688446698203,-9.4878999999999998
"59",-8.9129243749260993,-8.1151700000000009
"63",-8.8604750745340901,-8.5616400000000006
"42",-8.6901672819661098,-8.4667999999999992
"47",-8.6854430146116393,-8.3334499999999991
"48",-8.6550488345365100,-8.0063600000000008
"39",-8.5203760311480696,-7.1974999999999998
"49",-8.4768290797194403,-7.9342899999999998
"41",-8.4071728780636992,-7.3876900000000001
"43",-8.3932418375634406,-7.9976599999999998
"46",-8.1902335324964302,-7.8593599999999997
"62",-8.0412773301257001,-7.6917400000000002
"44",-8.0332512844863597,-9.9486699999999999
"20",-7.9166345213555003,-8.5164500000000007
