Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,1,Example 9,0,-9.73,0.3,-8.79,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([C-0X4]([#1])([#1])[N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1]
kcal/mol,2,Example 8,0,-9.85,0.27,-9.71,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1]
kcal/mol,3,Example 14,0,-9.38,0.31,-9.78,[#1][c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[n-0X2][c-0X3]([c-0X3]([n-0X2][c-0X3]1[N-0X3]([#1])[#1])[N-0X3]1[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([C-0X4]([#1])([#1])[N+X4]([#1])([#1])[#1])[C-0X4]1([#1])[#1])[#1])[Cl-0X1]
kcal/mol,4,SHP099-1/Example 7,0,-9.27,0.27,-9.75,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1]
kcal/mol,5,Example 24,0,-8.14,0.28,-9.08,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([C-0X4]([#1])([#1])[#1])[n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1]
kcal/mol,6,Example 26,0,-9.0,0.33,-8.96,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1])[C-0X3](=[O-0X1])[N-0X3]([#1])[#1]
kcal/mol,7,Example 23,0,-8.29,0.3,-8.74,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([Cl-0X1])[n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1]
kcal/mol,8,Example 25,0,-7.67,0.28,-8.87,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([n-0X2][c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1])[C-0X2]#[N-0X1]
kcal/mol,9,10.0,0,-7.32,0.32,-7.15,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[c-0X3]([#1])[n-0X2][c-0X3]([c-0X3]([n-0X2]1)[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1]
kcal/mol,10,6.0,0,-9.32,0.29,-8.03,[#1][C-0X4]1([#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([N+X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[C-0X4]([#1])([#1])[N-0X3]1[c-0X3]1[n-0X2][c-0X3]([c-0X3]([c-0X3]([n-0X2]1)[N-0X3]([#1])[#1])[c-0X3]1[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[Cl-0X1])[#1]
