Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
SHP099-1/Example 7,Example 8,0.04,0.14,0.16,-0.14,0.96,N/A,N/A
SHP099-1/Example 7,Example 14,-0.03,0.16,0.54,-0.06,0.8,N/A,N/A
SHP099-1/Example 7,Example 22,0.51,N/A,N/A,N/A,N/A,N/A,N/A
SHP099-1/Example 7,Example 2,1.48,N/A,N/A,N/A,N/A,N/A,N/A
SHP099-1/Example 7,Example 1,0.76,0.12,0.09,0.72,0.99,N/A,N/A
SHP099-1/Example 7,Example 30,0.6,0.6,0.15,0.56,0.27,N/A,N/A
SHP099-1/Example 7,Example 5,2.19,4.28,0.16,4.56,0.96,N/A,N/A
SHP099-1/Example 7,Example 28,1.3,1.23,0.1,1.0,0.64,N/A,N/A
SHP099-1/Example 7,10.0,2.6,2.29,0.08,2.32,0.08,N/A,N/A
SHP099-1/Example 7,Example 23,1.01,1.28,0.11,0.93,0.99,N/A,N/A
SHP099-1/Example 7,Example 26,0.79,N/A,N/A,N/A,N/A,N/A,N/A
SHP099-1/Example 7,Example 25,0.88,1.92,0.14,1.98,0.53,N/A,N/A
SHP099-1/Example 7,Example 24,0.68,1.58,0.12,1.74,0.78,N/A,N/A
Example 22,Example 23,0.5,0.32,0.09,0.67,0.99,N/A,N/A
Example 22,7.0,2.16,0.92,0.41,0.57,0.99,N/A,N/A
Example 29,Example 9,-1.17,N/A,N/A,N/A,N/A,N/A,N/A
Example 29,11.0,1.27,0.71,0.27,0.71,0.27,N/A,N/A
11.0,Example 25,-2.52,N/A,N/A,N/A,N/A,N/A,N/A
11.0,Example 6,-2.72,-4.16,0.37,-4.12,0.54,N/A,N/A
11.0,4.0,0.53,N/A,N/A,N/A,N/A,N/A,N/A
11.0,7.0,-0.72,-3.24,0.49,-3.28,0.54,N/A,N/A
4.0,Example 5,-1.74,1.29,0.17,1.76,0.97,N/A,N/A
4.0,Example 27,-2.7,-2.43,0.12,-2.44,0.75,N/A,N/A
4.0,SHP836-2,-0.89,-0.85,0.11,-1.31,0.97,N/A,N/A
Example 2,Example 23,-0.46,-1.02,0.12,-0.81,0.79,N/A,N/A
Example 2,Example 1,-0.71,N/A,N/A,N/A,N/A,N/A,N/A
Example 2,Example 4,0.08,0.84,0.15,0.63,0.79,N/A,N/A
Example 14,7.0,2.7,1.09,0.18,0.9,0.8,N/A,N/A
Example 14,6.0,1.75,0.72,0.22,0.69,0.64,N/A,N/A
Example 26,SHP836-2,2.25,N/A,N/A,N/A,N/A,N/A,N/A
Example 26,Example 6,-0.11,N/A,N/A,N/A,N/A,N/A,N/A
Example 26,Example 25,0.09,1.85,0.22,1.85,0.22,N/A,N/A
SHP836-2,Example 5,-0.85,3.82,0.2,3.07,0.97,N/A,N/A
SHP836-2,Example 27,-1.81,-1.41,0.08,-1.12,0.96,N/A,N/A
Example 6,Example 8,-0.64,0.07,0.17,-0.14,0.71,N/A,N/A
Example 6,Example 25,0.2,N/A,N/A,N/A,N/A,N/A,N/A
Example 6,6.0,1.04,0.38,0.17,0.63,0.71,N/A,N/A
Example 1,Example 24,-0.09,1.14,0.19,1.02,0.78,N/A,N/A
Example 1,6.0,0.96,0.15,0.11,-0.09,0.71,N/A,N/A
Example 1,7.0,1.91,-0.46,0.46,0.12,0.99,N/A,N/A
Example 1,Example 4,0.79,1.25,0.12,1.64,0.88,N/A,N/A
Example 1,Example 3,0.77,1.42,0.11,1.41,0.62,N/A,N/A
3.0,Example 9,-3.33,-2.84,0.22,-2.83,0.27,N/A,N/A
3.0,Example 3,-2.75,-0.68,0.16,-0.69,0.27,N/A,N/A
Example 9,Example 30,-0.36,0.55,0.18,0.56,0.27,N/A,N/A
Example 8,Example 30,0.56,N/A,N/A,N/A,N/A,N/A,N/A
Example 8,Example 4,1.51,2.99,0.23,2.5,0.96,N/A,N/A
7.0,10.0,-0.08,N/A,N/A,N/A,N/A,N/A,N/A
Example 24,Example 28,0.62,-0.98,0.21,-0.74,0.47,N/A,N/A
Example 24,Example 30,-0.08,N/A,N/A,N/A,N/A,N/A,N/A
Example 24,Example 23,0.34,-0.6,0.13,-0.81,0.78,N/A,N/A
Example 28,6.0,0.43,-0.38,0.15,-0.37,0.64,N/A,N/A
10.0,Example 30,-2.0,-1.79,0.13,-1.76,0.13,N/A,N/A
Example 25,Example 3,0.65,0.08,0.17,0.14,0.53,N/A,N/A
Example 27,Example 4,0.32,1.72,0.15,2.0,0.96,N/A,N/A
Example 4,Example 3,-0.01,-0.2,0.09,-0.23,0.62,N/A,N/A
