"Title","glide gscore","exp dg"
"Example 28",-9.2190887213102606,-8.4573499999999999
"Example 6",-9.1410878351517102,-9.0692599999999999
"Example 1",-9.0924989088745694,-8.9881799999999998
"Example 25",-8.9074315443602305,-8.8699100000000008
"Example 8",-8.8555868229429393,-9.7123299999999997
"Example 26",-8.8436553022127598,-8.9590499999999995
"Example 2",-8.9509479695804508,-8.2762200000000004
"Example 9",-8.7527429877901106,-8.7941000000000003
"Example 24",-8.6831201980646497,-9.0772200000000005
"SHP099-1/Example 7",-8.5612507552060908,-9.7526499999999992
"Example 29",-8.4814565951811893,-7.6227799999999997
"Example 14",-8.4683828682754196,-9.7782300000000006
"10",-8.4418098892692903,-7.1542800000000000
"Example 23",-8.3885103439235493,-8.7403399999999998
"SHP836-2",-8.5140820197101998,-6.7132100000000001
"Example 3",-8.6036611467479904,-8.2158700000000007
"7",-8.4493295414014593,-7.0764699999999996
"3",-8.4506887271772193,-5.4629399999999997
"Example 27",-8.3977507820069697,-8.5185300000000002
"4",-8.3486417746554409,-5.8220700000000001
"6",-8.2194144849557595,-8.0300300000000000
"Example 5",-8.0237861595737705,-7.5630899999999999
"Example 22",-7.9815803630647899,-9.2388300000000001
"Example 30",-8.6043978825815799,-9.1570999999999998
"Example 4",-8.0463085309331106,-8.2010900000000007
"11",-7.3711940623284802,-6.3540900000000002
