"Title","MMGBSA dG Bind","exp dg"
"Example 14",-50.7360459978590015,-9.7782300000000006
"7",-51.8454751763347019,-7.0764699999999996
"10",-61.1388815509708010,-7.1542800000000000
"Example 22",-59.8800235558883003,-9.2388300000000001
"Example 6",-50.4175683755166020,-9.0692599999999999
"Example 30",-60.1904878768182030,-9.1570999999999998
"Example 23",-60.9837069807581003,-8.7403399999999998
"Example 25",-55.8512599987298017,-8.8699100000000008
"Example 28",-56.5121533822239002,-8.4573499999999999
"SHP099-1/Example 7",-59.9144923430322009,-9.7526499999999992
"Example 24",-63.8119921589022994,-9.0772200000000005
"Example 5",-48.5095329935429973,-7.5630899999999999
"Example 8",-51.2277007067568988,-9.7123299999999997
"4",-46.3320050379661978,-5.8220700000000001
"Example 26",-64.4743843985160936,-8.9590499999999995
"6",-56.2478643606227990,-8.0300300000000000
"Example 2",-58.1685634228306014,-8.2762200000000004
"Example 3",-55.1298906179835981,-8.2158700000000007
"Example 29",-55.3420893540932965,-7.6227799999999997
"Example 9",-50.3658061588430002,-8.7941000000000003
"3",-44.4024831786483034,-5.4629399999999997
"Example 4",-53.8632998043066991,-8.2010900000000007
"SHP836-2",-46.6350096835521981,-6.7132100000000001
"11",-34.0520418276136994,-6.3540900000000002
"Example 1",-57.9533112380813975,-8.9881799999999998
"Example 27",-49.7095459581979000,-8.5185300000000002
