Ligand1,Ligand2,Exp.,FEP,FEP Error,CCC,CCC Error,Solvation,Solvation Error
CHEMBL3265015,CHEMBL3265011,0.85,0.73,0.19,0.81,0.69,N/A,N/A
CHEMBL3265015,CHEMBL3265017,-2.01,-3.11,0.09,-3.02,0.69,N/A,N/A
CHEMBL3265015,CHEMBL3265009,-0.82,-3.12,0.12,-3.25,0.6,N/A,N/A
CHEMBL3265015,CHEMBL3264999,-1.94,-4.06,0.21,-4.02,0.79,N/A,N/A
CHEMBL3265015,CHEMBL3265014,-0.91,-2.35,0.07,-2.4,0.36,N/A,N/A
CHEMBL3265015,CHEMBL3259820,-1.09,-2.72,0.14,-2.75,0.79,N/A,N/A
CHEMBL3265031,CHEMBL3265024,0.29,1.82,0.13,1.9,0.25,N/A,N/A
CHEMBL3265031,CHEMBL3265037,-0.7,0.43,0.06,0.35,0.25,N/A,N/A
CHEMBL3265021,CHEMBL3265011,2.25,3.52,0.12,3.72,0.55,N/A,N/A
CHEMBL3265021,CHEMBL3265024,-0.9,1.03,0.09,0.87,0.59,N/A,N/A
CHEMBL3265021,CHEMBL3265022,0.1,0.16,0.06,0.19,0.31,N/A,N/A
CHEMBL3265021,CHEMBL3265020,-0.12,0.57,0.02,0.5,0.69,N/A,N/A
CHEMBL3265021,CHEMBL3265017,-0.6,0.01,0.06,-0.11,0.71,N/A,N/A
CHEMBL3265021,CHEMBL3265035,-0.19,-1.0,0.12,-0.93,0.69,N/A,N/A
CHEMBL3265021,CHEMBL3265023,0.41,0.03,0.04,-0.03,0.71,N/A,N/A
CHEMBL3265021,CHEMBL3265013,1.08,0.02,0.08,0.13,0.69,N/A,N/A
CHEMBL3264998,CHEMBL3264995,-0.67,0.92,0.14,0.97,0.14,N/A,N/A
CHEMBL3264998,CHEMBL3265001,-0.31,0.42,0.12,0.37,0.12,N/A,N/A
CHEMBL3265035,CHEMBL3265024,-0.71,1.59,0.11,1.79,0.45,N/A,N/A
CHEMBL3265035,CHEMBL3264996,0.41,-0.53,0.14,-0.66,0.69,N/A,N/A
CHEMBL3265013,CHEMBL3265020,-1.2,0.12,0.08,0.37,0.8,N/A,N/A
CHEMBL3265013,CHEMBL3265023,-0.67,-0.47,0.08,-0.16,0.78,N/A,N/A
CHEMBL3265013,CHEMBL3265004,-1.05,-2.33,0.18,-2.48,0.81,N/A,N/A
CHEMBL3265013,CHEMBL3265012,-0.74,-0.36,0.04,-0.7,0.81,N/A,N/A
CHEMBL3265013,CHEMBL3259820,-0.76,0.01,0.04,0.04,0.67,N/A,N/A
CHEMBL3265036,CHEMBL3265016,-1.27,1.87,0.08,1.93,0.21,N/A,N/A
CHEMBL3265036,CHEMBL3265029,-0.7,0.94,0.06,0.88,0.21,N/A,N/A
CHEMBL3265034,CHEMBL3265026,0.12,1.49,0.09,1.6,0.39,N/A,N/A
CHEMBL3265034,CHEMBL3265027,1.16,1.18,0.05,1.05,0.39,N/A,N/A
CHEMBL3265034,CHEMBL3265037,-1.28,-0.13,0.18,-0.08,0.21,N/A,N/A
CHEMBL3265034,CHEMBL3265033,-0.35,-0.06,0.16,-0.09,0.29,N/A,N/A
CHEMBL3265014,CHEMBL3265028,-0.61,-0.65,0.09,-0.54,0.35,N/A,N/A
CHEMBL3265014,CHEMBL3265022,-0.4,-0.09,0.08,-0.32,0.35,N/A,N/A
CHEMBL3265014,CHEMBL3265025,0.19,-0.42,0.07,-0.39,0.24,N/A,N/A
CHEMBL3265014,CHEMBL3265006,0.44,-0.13,0.1,-0.09,0.36,N/A,N/A
CHEMBL3265009,CHEMBL3265008,0.52,0.47,0.05,0.22,0.64,N/A,N/A
CHEMBL3265009,CHEMBL3265020,-0.71,0.83,0.09,0.84,0.6,N/A,N/A
CHEMBL3265009,CHEMBL3265005,-0.03,0.5,0.04,0.39,0.6,N/A,N/A
CHEMBL3265009,CHEMBL3265006,0.34,1.08,0.1,0.77,0.45,N/A,N/A
CHEMBL3265009,CHEMBL3265003,-0.52,-3.09,0.16,-2.57,0.64,N/A,N/A
CHEMBL3265017,CHEMBL3265026,0.12,1.09,0.05,1.11,0.76,N/A,N/A
CHEMBL3265017,CHEMBL3265024,-0.3,1.2,0.09,0.98,0.77,N/A,N/A
CHEMBL3265017,CHEMBL3265016,-0.2,0.9,0.02,0.99,0.66,N/A,N/A
CHEMBL3265017,CHEMBL3265027,1.16,0.61,0.04,0.56,0.79,N/A,N/A
CHEMBL3265017,CHEMBL3265020,0.48,0.65,0.09,0.61,0.8,N/A,N/A
CHEMBL3265017,CHEMBL3265032,0.42,-0.37,0.06,-0.23,0.54,N/A,N/A
CHEMBL3265017,CHEMBL3265002,0.87,-2.39,0.14,-2.2,0.8,N/A,N/A
CHEMBL3265017,CHEMBL3265029,0.37,0.09,0.04,-0.07,0.64,N/A,N/A
CHEMBL3265000,CHEMBL3264995,-0.57,0.23,0.14,0.69,0.7,N/A,N/A
CHEMBL3265000,CHEMBL3264997,0.83,1.64,0.13,1.59,0.41,N/A,N/A
