"Title","glide gscore","exp dg"
"CHEMBL3265000",-10.0794470969873995,-11.8143999999999991
"CHEMBL3264995",-9.1522576528042894,-12.3873999999999995
"CHEMBL3265001",-9.1139848411272109,-12.0327000000000002
"CHEMBL3264999",-8.9237574074364794,-11.4186999999999994
"CHEMBL3264998",-8.8321400197626492,-11.7188999999999997
"CHEMBL3264996",-8.8133051390656796,-10.6684000000000001
"CHEMBL3265032",-8.5809203445275894,-11.0640000000000001
"CHEMBL3265012",-8.4868268056578593,-10.5456000000000003
"CHEMBL3264997",-8.4771353497400206,-10.9822000000000006
"CHEMBL3265002",-8.4816623549261898,-10.6137999999999995
"CHEMBL3265013",-8.3757078626459691,-9.8089399999999998
"CHEMBL3265005",-8.3375421136567809,-10.3272999999999993
"CHEMBL3265009",-8.3180584453525004,-10.3001000000000005
"CHEMBL3265004",-8.3158524636233206,-10.8594000000000008
"CHEMBL3265030_n",-8.2951088067167404,-11.4700000000000006
"CHEMBL3265015",-8.2229089532323396,-9.4815199999999997
"CHEMBL3265008",-8.2185094112132209,-9.7816500000000008
"CHEMBL3259820",-8.1581397517352006,-10.5729000000000006
"CHEMBL3265037",-8.0891924919389808,-12.7693999999999992
"CHEMBL3265024",-8.0690958749908006,-11.7871000000000006
"CHEMBL3265022",-8.0459010071044901,-10.7911999999999999
"CHEMBL3265020",-7.9565670631470597,-11.0094999999999992
"CHEMBL3265016",-7.9405315489393899,-11.6915999999999993
"CHEMBL3265010",-7.9279964849769700,-10.1364000000000001
"CHEMBL3265023",-7.8985095821487699,-10.4773999999999994
"CHEMBL3265034",-7.9038578531199999,-11.4870000000000001
"CHEMBL3265021",-7.8522386790823200,-10.8866999999999994
"CHEMBL3265017",-7.8417830243258404,-11.4870000000000001
"CHEMBL3265028",-7.8332960022181002,-11.0094999999999992
"CHEMBL3265025",-7.7884417809001096,-10.2045999999999992
"CHEMBL3265036",-7.7911248280563603,-10.4228000000000005
"CHEMBL3265026",-7.7543545320587901,-11.3642000000000003
"CHEMBL3265029",-7.7439624570699399,-11.1186000000000007
"CHEMBL3265006",-7.6858002988907499,-9.9589999999999996
"CHEMBL3265035",-8.4491962456596497,-11.0777000000000001
"CHEMBL3265011",-7.6285228798159599,-8.6356800000000007
"CHEMBL3265027",-7.5675557543987599,-10.3272999999999993
"CHEMBL3265019",-7.9807351522761403,-10.7775999999999996
"CHEMBL3265018",-7.8783134485141000,-11.1867999999999999
"CHEMBL3265014",-7.3032083882018703,-10.3956000000000000
"CHEMBL3265033",-7.1084330140635901,-11.8416999999999994
"CHEMBL3265003",-7.4950283561220798,-10.8185000000000002
"CHEMBL3264994",-6.8956081114281202,-9.8089399999999998
"CHEMBL3265031",-6.5933119604186796,-12.0736000000000008
