Affinity unit, # ,Ligand,Quality,Pred. ΔG,Pred. Error,Exp. ΔG,Structure
kcal/mol,1,1a,0,-8.09,0.12,-8.55,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[c-0X3]1[n-0X2][c-0X3]2[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[#1])[#1])[c-0X3](=[O-0X1])[n-0X3]1[#1])[#1])[#1]
kcal/mol,2,1b,0,-9.58,0.12,-9.94,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]1[c-0X3]1[n-0X2][c-0X3]2[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[#1])[#1])[c-0X3](=[O-0X1])[n-0X3]1[#1])[#1])[O-0X2][C-0X4]([#1])([#1])[#1]
kcal/mol,3,3a,0,-12.41,0.12,-11.0,[#1][n-0X3]1[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([c-0X3]([c-0X3]([#1])[c-0X3]([c-0X3]2[#1])[#1])[#1])[n-0X2][c-0X3]1[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1]
kcal/mol,4,3b,0,-12.04,0.12,-11.52,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[C-0X4]([#1])([#1])[#1])[#1]
kcal/mol,5,5a,0,-11.38,0.11,-10.76,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,6,5b,0,-11.97,0.13,-10.47,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([F-0X1])[c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,7,5c,0,-11.82,0.13,-9.96,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([Cl-0X1])[c-0X3]([c-0X3]1[#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,8,5d,0,-10.9,0.11,-10.89,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,9,5e,0,-10.93,0.12,-10.11,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([#1])[c-0X3]([c-0X3]1[#1])[Cl-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,10,5f,0,-11.45,0.12,-10.26,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[c-0X3](=[O-0X1])[n-0X3]([#1])[c-0X3]([n-0X2][c-0X3]2[c-0X3]1[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1])[#1]
kcal/mol,11,5g,0,-11.9,0.12,-10.81,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[c-0X3](=[O-0X1])[n-0X3]([#1])[c-0X3]([n-0X2][c-0X3]2[c-0X3]1[Cl-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1])[#1]
kcal/mol,12,5h,0,-10.25,0.12,-10.05,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[c-0X3](=[O-0X1])[n-0X3]([#1])[c-0X3]([n-0X2][c-0X3]2[c-0X3]1[O-0X2][C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1])[#1]
kcal/mol,13,5i,0,-13.17,0.12,-12.08,[#1][c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]2[c-0X3](=[O-0X1])[n-0X3]([#1])[c-0X3]([n-0X2][c-0X3]2[c-0X3]1[C-0X4]([#1])([#1])[#1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1])[#1]
kcal/mol,14,5j,0,-11.51,0.12,-11.08,[#1][c-0X3]1[c-0X3]2[n-0X2][c-0X3]([n-0X3]([#1])[c-0X3](=[O-0X1])[c-0X3]2[c-0X3]([F-0X1])[c-0X3]([c-0X3]1[#1])[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1]
kcal/mol,15,5k,0,-10.87,0.11,-10.96,[#1][c-0X3]1[c-0X3]([F-0X1])[c-0X3]([c-0X3]2[c-0X3](=[O-0X1])[n-0X3]([#1])[c-0X3]([n-0X2][c-0X3]2[c-0X3]1[F-0X1])[c-0X3]1[c-0X3]([#1])[c-0X3]([c-0X3]([c-0X3]([c-0X3]1[#1])[#1])[C-0X4]([C-0X4]([#1])([#1])[#1])([C-0X4]([#1])([#1])[#1])[O-0X2][#1])[#1])[#1]
