"Title","glide gscore","Exp. ΔG"
"8c",-12.5324650813110008,-10.1199999999999992
"3a",-12.3727793562398993,-11.0000000000000000
"8d",-12.3604830897387004,-12.4900000000000002
"8f",-12.3362588336435000,-11.8100000000000005
"5l",-12.2531515387317995,-10.0899999999999999
"5p",-12.2327780457646007,-10.5000000000000000
"5i",-12.1960542547695994,-12.0800000000000001
"5f",-12.2073764309563000,-10.2599999999999998
"3b",-12.2059975354576000,-11.5199999999999996
"8e",-12.2664068358036005,-10.2400000000000002
"5o",-12.1955685750682008,-12.0399999999999991
"5h",-12.0415668313566009,-10.0500000000000007
"5g",-12.0547276888071000,-10.8100000000000005
"5k",-12.0557603957828992,-10.9600000000000009
"5m",-11.9523942368644001,-12.6899999999999995
"5j",-11.9425784881757995,-11.0800000000000001
"5n",-11.8471041513941007,-10.7100000000000009
"5a",-11.8178494346181999,-10.7599999999999998
"1b",-11.8229089512083991,-9.9399999999999995
"5d",-11.8065989453209994,-10.8900000000000006
"1a",-11.7183543393331000,-8.5500000000000007
"5b",-11.6972826556408993,-10.4700000000000006
"8a",-11.6763580633614001,-10.8100000000000005
"8b",-11.4595459853087007,-11.9299999999999997
"7",-11.3522561783144997,-8.4000000000000004
"5e",-11.3393126789656993,-10.1099999999999994
"5c",-10.8838366316741002,-9.9600000000000009
