"Title","Exp. ΔG","MMGBSA dG Bind"
"3a",-11.0000000000000000,-76.2781488222954067
"5f",-10.2599999999999998,-84.3755645275413997
"8e",-10.2400000000000002,-89.3554123736448958
"5l",-10.0899999999999999,-80.5561129348461975
"8b",-11.9299999999999997,-80.9118486480310963
"5g",-10.8100000000000005,-88.3726412685082039
"1b",-9.9399999999999995,-76.3195258820323943
"5e",-10.1099999999999994,-67.4142183210606021
"5i",-12.0800000000000001,-83.6757847363878966
"8d",-12.4900000000000002,-84.0671480387045023
"5b",-10.4700000000000006,-77.5356341649421950
"5h",-10.0500000000000007,-86.6093984729140942
"8c",-10.1199999999999992,-82.5939752792491930
"5a",-10.7599999999999998,-81.4798216939615969
"5k",-10.9600000000000009,-83.0209695295525023
"7",-8.4000000000000004,-75.5821486547337997
"5p",-10.5000000000000000,-81.2111113811043026
"1a",-8.5500000000000007,-74.9985623561151016
"5j",-11.0800000000000001,-76.5978574924155993
"8f",-11.8100000000000005,-86.1427853914447041
"3b",-11.5199999999999996,-74.2512752813309049
"8a",-10.8100000000000005,-81.6563108926821002
"5o",-12.0399999999999991,-77.8525658598119037
"5d",-10.8900000000000006,-79.5597755154486066
"5m",-12.6899999999999995,-79.9330365523073993
"5n",-10.7100000000000009,-87.0703996171178005
"5c",-9.9600000000000009,-65.1325131889370965
